name,workday,NAME_1,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank,Labour Day,Have to work,weekend,Transfer Lines,FDof Study Area,FM of Study Area,FAR of Study Area,BD of Study Area,Distance to city center,FD of Regulated Area,FM of Regulated Area,FAR of Regulated Area,BD of Regulated Area,Road Density,Balance Coefficient,Peak Hour Coefficient,Subway Inflow/Outflow,Bus Inflow/Outflow
天安门西,260.13157894736844,D0,0.0045351473922902,0.0378375592661306,0.0860404288297597,2.8272254598682137e-13,0.0016544339589388,67.0,290.6842105263158,277.7894736842105,1,380,3.5876506369301544,1.033514318583448,0.1909336315755884,1.06062534295856,23,2.235177307997703,0.1632282725340543,0.028099355359701,27.006879436648088,1.920586085597852,2.784244299714073,1.0321583652618136,0.0
天宫院,732.0925925925926,D1,0.0022675736961451,0.0,0.0440794820309317,5.920848762675449e-20,0.0013465723012319,654.1944444444445,682.5,563.0,1,278,3.352607480715939,0.5056148849936891,0.1058349250827282,27.065594190449108,112,3.108955200210646,0.1259936210855523,0.0205573079220949,47.857519820039535,1.4556168264739044,2.5409059256899726,1.2158749579000185,0.779874213836478
天桥,152.82456140350877,D0,0.0045351473922902,0.0603483817769532,0.0840619146209208,7.564648594983232e-08,0.0017842683177972,185.1447368421053,134.68421052631578,122.26315789473684,2,897,4.06273885740892,1.1385821363219173,0.2186666955173488,2.660494818608953,164,3.8828630041872847,0.185139630925732,0.031721598395514,19.243071859544425,2.1259321218386584,3.4271323098697515,0.8620805463043296,0.8792453586751673
安定门,525.2017543859649,D0,0.0045351473922902,0.0105132962275819,0.0895472227590089,1.1751543454152466e-10,0.0012480356191932,244.8684210526316,484.89473684210526,247.31578947368425,1,1655,4.130987642406257,1.4616085163773742,0.2619458271054543,4.845200296144917,176,3.569587977731609,0.1414173359625508,0.026855348214611,19.695920674586407,2.794978112448374,4.258269280723886,1.0596808310353611,1.045721034461874
安德里北街,209.0701754385965,D0,0.0045351473922902,0.0644197072768501,0.0869345340054487,4.937358319034669e-12,0.0015747397978923,96.29333333333334,193.0,96.0,1,1122,4.013361605440961,1.7685121151316,0.280572483044001,5.775546847052178,187,3.627849996601899,0.225814434629083,0.0356496669723908,14.052881497098856,3.227345681458134,4.754515096907466,1.0394644115574347,0.0
宣武门,722.1379310344828,D0,0.0090702947845804,0.0852298495155638,0.0881678978847315,7.94167653367066e-10,0.0024971362762093,322.961038961039,626.75,330.10526315789474,2,1768,4.195171306803518,1.97057505236134,0.2923058502542873,2.568029013118013,259,3.71918365413692,0.2478948547625251,0.0329540303276381,24.45176959757615,2.978581268958846,5.173532550522903,1.0249016932830433,0.7957365938544672
崇文门,1541.7456140350878,D0,0.0090702947845804,0.1716347144918573,0.086969293915087,6.221508992805429e-13,0.002735716259935,1069.0,1359.4736842105262,991.0526315789474,2,2511,4.200361818623456,2.008390750773869,0.2665000564754125,1.256449517940602,356,3.852729719571416,0.2750858652721322,0.0337276151782169,20.74098939164147,2.243149984955901,2.9757709685590696,0.9815436185029185,0.7317144916238913
平安里,643.1623931623932,D0,0.0136054421768707,0.1788703360131931,0.0985323687799015,2.9221249505290376e-07,0.0046804908532889,428.5263157894737,560.85,411.10526315789474,2,1554,4.073525462756772,1.6953982303098292,0.3389241875446122,4.0909928368631725,295,3.864348528082377,0.2541635335495344,0.0494104685307471,20.178905486802776,2.4697062959469025,3.719597904628418,0.9697860748337473,0.9685105524936146
广安门内,941.5350877192982,D0,0.0045351473922902,0.0583487940630797,0.0841594908421871,9.75329217036087e-10,0.0019782555033086,462.5657894736842,815.2631578947369,498.5263157894737,1,1768,4.079553648445751,2.096535162697393,0.2853028735818471,4.257903075543004,478,3.66923591710194,0.3414055509387628,0.0456147281706034,17.370764672010722,2.992993127411056,4.59557383385875,0.8574757399689714,0.8410021254258716
广渠门内,605.6666666666666,D0,0.0045351473922902,0.0276850133992991,0.0803065180290318,1.7870783428147142e-14,0.0017947390231728,277.80263157894734,548.578947368421,375.05263157894734,1,2195,4.103848187012479,2.0057039157336365,0.2696538750399189,2.92172163034771,454,3.976621973932384,0.3258796808878594,0.0380720485892252,17.47245567290712,2.697684092546542,4.391071063017084,0.9608592927155586,0.8155909044560008
广渠门外,457.0701754385965,D0,0.0045351473922902,0.0258091115233972,0.0782833198062381,5.108954117915188e-16,0.0017488901640706,212.26315789473685,429.7894736842105,250.4736842105264,1,1201,3.963121035948067,1.628580771015386,0.2124295753791867,4.119395246700534,350,3.680415312242086,0.2746172821013331,0.032606353966277,19.603396366881107,2.224990064303661,3.0503273614474806,0.9993314580521462,0.8743175791608174
广阳城,203.40350877192984,D1,0.0045351473922902,0.0737682951968666,0.0524310483503995,1.8044637264640828e-17,0.0020515172268669,99.64473684210526,186.7894736842105,104.78947368421052,0,223,3.5868919135667974,0.4625717878839149,0.0995916832438177,25.59996025922147,51,2.919239624166476,0.0916169379262662,0.0232490460598923,8.68989994368187,1.990189478552752,3.770078176744372,1.0460149527436873,0.0
